,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
9178,2465166,청라호수도서관,14,2,37.5305967767,126.6362810266,인천광역시 서구 크리스탈로 59,
9182,2782768,투모로우시티(인천스타트업파크),14,2,37.3885911229,126.6399707417,인천광역시 연수구 컨벤시아대로 204,(송도동)
9187,3061209,학산소극장,14,2,37.4495594272,126.6618920537,인천광역시 미추홀구 인하로 126 (용현동),
9189,3003299,한국근대문학관,14,2,37.4726671326,126.6210312507,인천광역시 중구 신포로15번길 76 한국근대문학관,
9192,652305,한중문화관,14,2,37.4735780979,126.6187730983,인천광역시 중구 제물량로 238,(항동1가)
9196,1619680,화도진전시관,14,2,37.4814467963,126.6283386738,인천광역시 동구 화도진로 114,(화수동)
9197,1113310,황어장터 3.1만세운동 기념관,14,2,37.5790234532,126.7352817448,인천광역시 계양구 황어로126번길 9,(장기동)
9198,2986679,가족의 달 어린이 축제,15,2,37.48912279,126.5777264136,인천광역시 중구 구읍로 63 (중산동),
9199,2643189,강화 양오낚시터 빙어축제,15,2,37.8001841894,126.443857781,인천광역시 강화군 송해면 전망대로423번길 161,양오낚시터
9200,2938676,강화도왕방마을얼음축제,15,2,37.6989596685,126.4312617608,인천광역시 강화군 중앙로787번길 8-1 관리소매점,
9201,2605336,강화문화재야행,15,2,37.7487798121,126.485510954,인천광역시 강화군 강화읍 관청리 405,인천 강화군 강화읍 관청리 405
9202,3329992,계양아라온워터축제,15,2,37.5747323349,126.7380649442,인천광역시 계양구 장기동,109-1 계양아라온
9203,3116234,고고축제,15,2,37.4757919043,126.6287026869,인천광역시 중구 우현로67번길 57 (전동),
9204,2997766,달빛가득 부평도호부,15,2,37.5417359395,126.7249448437,인천광역시 계양구 어사대로 20,부평도호부관아 (부평초등학교 내)
9205,2816928,달빛가득 부평향교,15,2,37.5395472304,126.7207175131,인천광역시 계양구 향교로 19 부평향교(지정문화재),
9206,2560781,동인천 낭만축제,15,2,37.4766807577,126.6325328678,인천광역시 동구 송현동 70-10,동인천역 북광장
9207,3062259,만수천 빛의거리,15,2,37.4515936663,126.7265083278,인천광역시 남동구 만수동,1003 일원
9208,2990417,문화 올데이 연수!,15,2,37.4091949621,126.6783277871,인천광역시 연수구 원인재로 115 (동춘동),
9209,2562080,뮤직 플로우 페스티벌,15,2,37.4822897181,126.7049455502,인천광역시 부평구 아트센터로 166 (십정동),
9210,1266642,부평풍물대축제,15,2,37.4968022399,126.7229990543,인천광역시 부평구 부평대로 60 (부평동),"부평대로, 신트리공원"
9211,3021261,부평향교 밤마실,15,2,37.5395472304,126.7207175131,인천광역시 계양구 향교로 19 (계산동),
9213,3012714,"빛의 정원, 송도",15,2,37.3904159745,126.6435814732,인천광역시 연수구 컨벤시아대로 160 (송도동),송도 센트럴파크
9214,1398149,삼랑성역사문화축제,15,2,37.6321461675,126.4843809763,인천광역시 강화군 길상면 전등사로 37-41,
9215,2978145,생물사랑 어린이 축제,15,2,37.5614876375,126.6368245602,인천광역시 서구 환경로 42,
9216,2635515,서창별빛거리,15,2,37.4455921127,126.7562168986,인천광역시 남동구 서창 2지구 로터리,회전교차로 일원 (서창동 754)
9217,506809,소래포구 축제,15,2,37.397980675,126.7393253184,인천광역시 남동구 장도로 86-17,해오름광장
9218,3301962,소이작도 해작해작 갯티길 산책,15,2,37.1813551237,126.2221311414,인천광역시 옹진군 자월면 소이작로 245,
9219,3023424,송월동 동화마을 코스튬 페스티벌,15,2,37.4777026507,126.6205978173,인천광역시 중구 송월동3가,자유공원서로 45번길
9220,3105548,스카마켓 in 인천 (SCA Market in Incheon),15,2,37.3900244069,126.6466173186,인천광역시 연수구 센트럴로 123 (송도동),
9221,2829118,시민창작예술축제 학산마당극놀래,15,2,37.4631995872,126.666319049,인천광역시 미추홀구 경인로 216-1 (도화동),
9222,2989846,신송도해변축제,15,2,37.3990651932,126.6562495239,인천광역시 연수구 아암대로 764 (송도동),
9223,3326715,십리 for you 칠링의 밤,15,2,37.2815203049,126.4864848933,인천광역시 옹진군 영흥면 영흥북로 382,
9224,2849159,연수 능허대 문화축제,15,2,37.4052529114,126.6305766927,인천광역시 연수구 센트럴로 350 (송도동),송도달빛축제공원
9225,2987482,응신에게 효(孝)를 묻다,15,2,37.5395472304,126.7207175131,인천광역시 계양구 향교로 19 부평향교(지정문화재),
9227,1365676,인천 송도맥주축제,15,2,37.4052529114,126.6305766927,인천광역시 연수구 센트럴로 350 달빛축제공원,
9228,2872078,인천 영화 주간 2023,15,2,37.4060509763,126.6836357236,인천광역시 연수구 청능대로 210 스퀘어원,
9229,2408959,인천개항장 문화유산 야행,15,2,37.4735225945,126.6213645301,인천광역시 중구 신포로27번길 80 (관동1가),
